,PAGE_ID,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,universe,UNIVERSE
31,10163,Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,,Male Characters,Heterosexual Character,Living Characters,492,"1959, April",1959.0,DC,
32,1872,Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,487,"1960, February",1960.0,DC,
33,1616,Rex Mason (New Earth),Secret Identity,,Black Eyes,,Male Characters,Heterosexual Character,Living Characters,470,"1965, January",1965.0,DC,
34,1577,Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,439,"1964, November",1964.0,DC,
35,6791,Aztar (New Earth),Secret Identity,,White Eyes,,Male Characters,Heterosexual Character,Living Characters,436,"1940, February",1940.0,DC,
36,1481,Theodore Kord (New Earth),Secret Identity,,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Deceased Characters,429,"1986, February",1986.0,DC,
37,1559,Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,427,"1986, February",1986.0,DC,
38,1607,Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,423,"1996, January",1996.0,DC,
39,1680,Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,422,"1940, May",1940.0,DC,
40,1662,Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,413,"1974, July",1974.0,DC,
41,1864,Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,399,"1980, October",1980.0,DC,
42,37696,Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,393,"1989, April",1989.0,DC,
43,1981,Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Deceased Characters,391,"1939, April",1939.0,DC,
44,1514,Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,Heterosexual Character,Deceased Characters,388,"1970, December",1970.0,DC,
45,1560,Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Living Characters,386,"1987, March",1987.0,DC,
46,23652,Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,Heterosexual Character,Living Characters,386,"1978, March",1978.0,DC,
47,2433,Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,,Male Characters,Heterosexual Character,Living Characters,374,"1968, August",1968.0,DC,
48,1704,John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Living Characters,371,"1984, June",1984.0,DC,
49,1995,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Character,Deceased Characters,370,"1940, October",1940.0,DC,
50,1684,Charles McNider (New Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,361,"1941, April",1941.0,DC,
51,1687,Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Deceased Characters,356,"1941, April",1941.0,DC,
52,1564,Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,353,"1983, June",1983.0,DC,
53,1488,Perry White (New Earth),Public Identity,,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,350,"1986, October",1986.0,DC,
54,1554,John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,Heterosexual Character,Living Characters,345,"1993, June",1993.0,DC,
55,1619,Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,Heterosexual Character,Living Characters,344,"1977, April",1977.0,DC,
56,1549,Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Living Characters,336,"1980, December",1980.0,DC,
57,1599,Phantom Stranger (New Earth),Secret Identity,,Black Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,335,"1952, September",1952.0,DC,
58,1723,Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Heterosexual Character,Living Characters,325,"1982, June",1982.0,DC,
59,1528,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,321,"1940, February",1940.0,DC,
60,1625,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,319,"1959, October",1959.0,DC,
61,4030,Clifford Steele (New Earth),Public Identity,,Photocellular Eyes,,Male Characters,Heterosexual Character,Living Characters,314,"1963, June",1963.0,DC,
62,3458,Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,311,"1972, September",1972.0,DC,
63,39947,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Heterosexual Character,Living Characters,309,"1983, September",1983.0,DC,
64,261362,Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,309,"1972, November",1972.0,DC,
65,8856,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,308,"1992, March",1992.0,DC,
66,1471,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,306,"1942, August",1942.0,DC,
67,1696,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,305,"1999, July",1999.0,DC,
68,1894,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Heterosexual Character,Deceased Characters,301,"1999, August",1999.0,DC,
69,1700,Michael Holt (New Earth),Secret Identity,,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,300,"1997, June",1997.0,DC,
70,1825,Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,299,"1986, June",1986.0,DC,
71,1870,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,297,"2004, May",2004.0,DC,
72,7155,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,291,"1972, March",1972.0,DC,
73,1681,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,288,"1940, March",1940.0,DC,
74,1464,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Character,Living Characters,286,"1966, June",1966.0,DC,
75,1685,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,284,"1999, February",1999.0,DC,
76,1885,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,282,"1940, January",1940.0,DC,
77,2657,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Female Characters,Heterosexual Character,Living Characters,268,"1981, July",1981.0,DC,
78,1568,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,268,"1971, April",1971.0,DC,
79,173437,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Character,Living Characters,266,"1986, October",1986.0,DC,
80,1839,Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,Heterosexual Character,Deceased Characters,262,"1967, October",1967.0,DC,
81,21110,Daniel Turpin (New Earth),Public Identity,,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Deceased Characters,261,"1942, June",1942.0,DC,
82,13108,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,256,"1938, June",1938.0,DC,
83,24301,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Deceased Characters,254,"1986, October",1986.0,DC,
84,1462,Oswald Cobblepot (New Earth),Public Identity,,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,253,"1941, December",1941.0,DC,
85,1788,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,252,"1983, July",1983.0,DC,
86,4079,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,250,"1963, June",1963.0,DC,
87,11039,Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,Heterosexual Character,Living Characters,245,"1983, September",1983.0,DC,
88,1848,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Heterosexual Character,Living Characters,245,"1983, July",1983.0,DC,
89,1866,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,241,"1941, December",1941.0,DC,
90,1900,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,239,"1941, September",1941.0,DC,
91,1547,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,237,"1971, March",1971.0,DC,
92,1585,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,237,"1961, August",1961.0,DC,
93,1494,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,235,"1999, July",1999.0,DC,
94,1445,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,235,"1987, June",1987.0,DC,
95,1483,Susan Dearbon (New Earth),Public Identity,Good Characters,,Black Hair,Female Characters,Heterosexual Character,Deceased Characters,235,"1961, March",1961.0,DC,
96,1468,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,234,"1992, October",1992.0,DC,
97,14823,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,231,"1987, February",1987.0,DC,
98,1785,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,229,"1984, May",1984.0,DC,
99,1574,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,229,"1965, September",1965.0,DC,
100,12766,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,229,"1941, October",1941.0,DC,
101,14002,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,228,"1992, August",1992.0,DC,
102,1645,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,227,"1950, June",1950.0,DC,
103,12672,Mera (New Earth),Public Identity,,Blue Eyes,Red Hair,Female Characters,Heterosexual Character,Living Characters,226,"1963, October",1963.0,DC,
104,1897,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Character,Living Characters,225,"1988, April",1988.0,DC,
105,1522,George Harkness (New Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,224,"1960, December",1960.0,DC,
106,1606,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,222,"1986, November",1986.0,DC,
107,1675,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,222,"1941, September",1941.0,DC,
108,1519,Leonard Snart (New Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,219,"1957, June",1957.0,DC,
109,174276,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Heterosexual Character,Living Characters,219,"1940, January",1940.0,DC,
110,1953,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,218,"1987, May",1987.0,DC,
111,8056,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,218,"1961, May",1961.0,DC,
112,38764,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,216,"1987, September",1987.0,DC,
113,1557,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual Character,Deceased Characters,216,"1971, October",1971.0,DC,
114,2698,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Heterosexual Character,Living Characters,214,"1963, June",1963.0,DC,
115,1868,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Character,Deceased Characters,214,"1940, February",1940.0,DC,
116,65039,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Male Characters,Heterosexual Character,Living Characters,213,"1937, March",1937.0,DC,
117,1682,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,212,"1985, November",1985.0,DC,
118,8049,James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,Heterosexual Character,Deceased Characters,212,"1961, May",1961.0,DC,
119,1862,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,208,"1983, September",1983.0,DC,
120,13358,Yz (New Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,207,"1940, January",1940.0,DC,
121,5384,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,206,"1988, April",1988.0,DC,
122,64094,Wolfgang Winks (New Earth),Public Identity,Good Characters,,Black Hair,Male Characters,Heterosexual Character,Living Characters,206,"1942, November",1942.0,DC,
123,7288,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,199,"1940, June",1940.0,DC,
124,1453,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,198,"1992, August",1992.0,DC,
125,1865,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Heterosexual Character,Living Characters,192,"1992, February",1992.0,DC,
126,47056,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,191,"1951, June",1951.0,DC,
127,1579,Kimiyo Hoshi (New Earth),Secret Identity,,Black Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,189,"1985, July",1985.0,DC,
128,1940,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,188,"1968, April",1968.0,DC,
129,1620,Vandar Adg (New Earth),Public Identity,,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,188,"1943, December",1943.0,DC,
130,11867,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,184,"1941, September",1941.0,DC,
131,1434,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Heterosexual Character,Living Characters,183,"1940, November",1940.0,DC,
132,16667,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual Character,Living Characters,182,"1973, January",1973.0,DC,
133,8235,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Deceased Characters,181,"1947, June",1947.0,DC,
134,1658,Margaret Sawyer (New Earth),Public Identity,,Blue Eyes,,Female Characters,Homosexual Characters,Living Characters,180,"1987, April",1987.0,DC,
135,37701,Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,180,"1983, March",1983.0,DC,
136,12408,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Deceased Characters,180,"1975, November",1975.0,DC,
137,1518,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,179,"1959, May",1959.0,DC,
138,4778,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual Character,Deceased Characters,177,"1971, May",1971.0,DC,
139,1829,Adam Strange (New Earth),Public Identity,,Blue Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,177,"1958, December",1958.0,DC,
140,11870,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual Character,Living Characters,177,"1941, October",1941.0,DC,
141,1909,Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,,Male Characters,Heterosexual Character,Living Characters,176,"1984, June",1984.0,DC,
142,327940,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,176,"1971, January",1971.0,DC,
143,2736,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,176,"1960, October",1960.0,DC,
144,13102,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,175,"1983, July",1983.0,DC,
145,2606,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,175,"1968, June",1968.0,DC,
146,1717,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,174,"1994, October",1994.0,DC,
147,3628,Linda Park (New Earth),Public Identity,,Brown Eyes,Black Hair,Female Characters,Heterosexual Character,Living Characters,174,"1989, July",1989.0,DC,
148,1583,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,Heterosexual Character,Deceased Characters,174,"1944, October",1944.0,DC,
149,1461,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,173,"1988, January",1988.0,DC,
150,144959,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Female Characters,Heterosexual Character,Living Characters,173,"1981, May",1981.0,DC,
151,11604,Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,Heterosexual Character,Living Characters,171,"1942, April",1942.0,DC,
152,3622,Joan Williams (New Earth),Public Identity,,Blue Eyes,Grey Hair,Female Characters,Heterosexual Character,Living Characters,171,"1940, January",1940.0,DC,
153,4895,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,170,"1962, April",1962.0,DC,
154,1566,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual Character,Living Characters,168,"1995, April",1995.0,DC,
155,1482,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Heterosexual Character,Deceased Characters,168,"1961, October",1961.0,DC,
156,7585,Oberon (New Earth),Public Identity,,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Living Characters,167,"1971, April",1971.0,DC,
157,2612,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,166,"1994, April",1994.0,DC,
158,3473,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual Character,Living Characters,166,"1963, June",1963.0,DC,
159,3719,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,165,"2004, July",2004.0,DC,
160,1679,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Heterosexual Character,Deceased Characters,165,"1983, September",1983.0,DC,
161,10969,Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Male Characters,Heterosexual Character,Living Characters,165,"1962, April",1962.0,DC,
162,4637,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Character,Living Characters,164,"2006, February",2006.0,DC,
163,9652,Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,,Female Characters,Heterosexual Character,Living Characters,164,"1962, April",1962.0,DC,
164,11609,Andre Chavard (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,Heterosexual Character,Living Characters,164,"1942, June",1942.0,DC,
165,11871,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Heterosexual Character,Deceased Characters,164,"1942, February",1942.0,DC,
166,13463,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,Heterosexual Character,Living Characters,163,"1964, February",1964.0,DC,
167,12225,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual Character,Living Characters,163,"1949, November",1949.0,DC,
